user_id,age,gender,device_os,device_model,location,account_created_date
USR00001,23,Male,Android,Xiaomi Redmi 13,Hanoi,2026-04-09
USR00002,59,Male,Android,Oppo A58,Hanoi,
USR00003,48,Female,iOS,iPhone 14,Danang,2026-03-02
USR00004,53,Male,Android,Samsung S24,Hanoi,
USR00005,31,Male,iOS,iPhone 15,Danang,2026-03-08
USR00006,39,Male,iOS,iPhone 14,Others,2026-03-09
USR00007,51,Female,Android,Samsung S24,Others,2026-05-31
USR00008,34,Male,iOS,iPhone 13,Hanoi,2026-05-28
USR00009,59,Female,iOS,iPhone 15,Hanoi,2026-05-02
USR00010,35,Female,Android,Samsung A55,Others,
USR00011,29,Male,Android,Xiaomi Redmi 13,Danang,
USR00012,34,Female,Android,Samsung A55,Danang,
USR00013,39,Female,Android,Xiaomi Redmi 13,HCM,2026-05-08
USR00014,60,Male,Android,Samsung S24,Hanoi,2026-01-06
USR00015,38,Male,Android,Samsung S24,Hanoi,2026-01-23
USR00016,57,Female,iOS,iPhone 14,HCM,2026-03-20
USR00017,21,Male,Android,Samsung S24,Others,
USR00018,34,Female,Android,Samsung S24,Danang,2026-01-17
USR00019,53,Female,Android,Samsung A55,HCM,
USR00020,33,Male,Android,Samsung A55,Danang,2026-02-02
USR00021,53,Female,iOS,iPhone 15,Danang,
USR00022,41,Female,Android,Oppo A58,HCM,2026-04-07
USR00023,60,Female,iOS,iPhone 14,Others,2026-03-16
USR00024,47,Female,iOS,iPhone 15,HCM,2026-04-08
USR00025,44,Male,Android,Samsung A55,HCM,2026-01-16
USR00026,50,Male,iOS,iPhone 13,Hanoi,
USR00027,39,Female,Android,Samsung A55,HCM,
USR00028,55,Female,Android,Oppo A58,Others,
USR00029,36,Male,iOS,iPhone 14,Hanoi,2026-04-09
USR00030,35,Female,iOS,iPhone 15,Danang,
USR00031,26,Male,iOS,iPhone 14,Others,2026-05-20
USR00032,40,Female,Android,Xiaomi Redmi 13,Hanoi,2026-05-06
USR00033,28,Male,iOS,iPhone 15,Danang,2026-02-24
USR00034,60,Female,Android,Samsung S24,Others,2026-03-20
USR00035,56,Female,iOS,iPhone 15,Danang,2026-02-18
USR00036,51,Female,iOS,iPhone 13,Others,2026-03-08
USR00037,20,Female,Android,Samsung S24,Hanoi,
USR00038,47,Male,Android,Samsung A55,Others,2026-05-31
USR00039,19,Female,Android,Samsung A55,Others,
USR00040,42,Male,Android,Samsung S24,Danang,2026-03-05
USR00041,38,Female,iOS,iPhone 15,Hanoi,
USR00042,57,Male,iOS,iPhone 15,Hanoi,2026-03-04
USR00043,53,Female,iOS,iPhone 15,HCM,2026-02-13
USR00044,48,Male,Android,Oppo A58,Hanoi,
USR00045,37,Female,Android,Samsung A55,Danang,2026-02-28
USR00046,22,Female,iOS,iPhone 13,Hanoi,2026-03-08
USR00047,29,Female,iOS,iPhone 13,Others,2026-03-28
USR00048,45,Female,Android,Oppo A58,Others,
USR00049,28,Male,Android,Samsung A55,Hanoi,
USR00050,25,Male,iOS,iPhone 13,Others,2026-04-18
USR00051,48,Male,Android,Samsung A55,HCM,2026-04-30
USR00052,34,Male,Android,Oppo A58,HCM,
USR00053,48,Female,Android,Oppo A58,Others,
USR00054,51,Female,Android,Oppo A58,Danang,
USR00055,59,Female,iOS,iPhone 14,Danang,
USR00056,36,Male,Android,Oppo A58,Danang,
USR00057,20,Male,iOS,iPhone 14,Hanoi,2026-02-07
USR00058,60,Male,Android,Samsung A55,Hanoi,2026-04-20
USR00059,19,Female,Android,Samsung S24,Hanoi,
USR00060,49,Male,Android,Samsung S24,Danang,
USR00061,42,Male,Android,Samsung A55,Others,2026-01-06
USR00062,48,Male,Android,Samsung A55,HCM,2026-05-27
