transaction_id,user_id,transaction_type_id,amount,transaction_date
TX0000001,USR00001,TX_TRF,1635854.67,2026-04-11
TX0000002,USR00001,TX_TRF,1670945.14,2026-04-22
TX0000003,USR00001,TX_TRF,1001705.67,2026-04-10
TX0000004,USR00001,TX_TRF,762396.86,2026-04-13
TX0000005,USR00003,TX_TRF,905710.92,2026-03-09
TX0000006,USR00003,TX_QR,1069655.67,2026-03-25
TX0000007,USR00003,TX_QR,1785915.89,2026-03-14
TX0000008,USR00003,TX_TRF,558499.01,2026-03-21
TX0000009,USR00003,TX_TRF,668612.11,2026-03-14
TX0000010,USR00003,TX_QR,1437690.36,2026-03-11
TX0000011,USR00003,TX_TRF,575007.67,2026-03-21
TX0000012,USR00003,TX_TRF,1928680.7,2026-03-09
TX0000013,USR00003,TX_TRF,1477881.94,2026-05-11
TX0000014,USR00003,TX_QR,1519012.14,2026-05-22
TX0000015,USR00003,TX_TRF,1523593.79,2026-05-13
TX0000016,USR00003,TX_TRF,1162024.2,2026-05-11
TX0000017,USR00005,TX_QR,1742059.54,2026-03-24
TX0000018,USR00005,TX_TRF,763937.35,2026-03-29
TX0000019,USR00005,TX_QR,1288032.16,2026-03-28
TX0000020,USR00006,TX_SAV,27606146.29,2026-03-11
TX0000021,USR00006,TX_QR,378436.88,2026-04-13
TX0000022,USR00006,TX_QR,1065073.01,2026-04-13
TX0000023,USR00006,TX_TRF,1597252.6,2026-04-13
TX0000024,USR00006,TX_TRF,61807.47,2026-04-28
TX0000025,USR00006,TX_QR,22697.29,2026-04-24
TX0000026,USR00006,TX_TRF,1931858.58,2026-04-16
TX0000027,USR00006,TX_QR,17082.14,2026-05-21
TX0000028,USR00006,TX_QR,726194.25,2026-05-30
TX0000029,USR00006,TX_QR,816339.2,2026-05-25
TX0000030,USR00006,TX_QR,1603074.8,2026-06-27
TX0000031,USR00006,TX_QR,1483106.09,2026-06-08
TX0000032,USR00006,TX_QR,1781730.71,2026-06-09
TX0000033,USR00006,TX_TRF,1912091.15,2026-06-24
TX0000034,USR00007,TX_TRF,1146525.25,2026-06-22
TX0000035,USR00007,TX_QR,353439.76,2026-06-25
TX0000036,USR00007,TX_TRF,1710349.63,2026-06-01
TX0000037,USR00007,TX_QR,1081632.54,2026-06-23
TX0000038,USR00007,TX_QR,814657.13,2026-06-10
TX0000039,USR00007,TX_QR,974440.62,2026-06-25
TX0000040,USR00007,TX_TRF,327214.45,2026-06-07
TX0000041,USR00007,TX_QR,174653.24,2026-06-15
TX0000042,USR00008,TX_TRF,1934818.44,2026-06-01
TX0000043,USR00008,TX_QR,1767271.1,2026-06-07
TX0000044,USR00008,TX_QR,1136550.82,2026-06-10
TX0000045,USR00009,TX_QR,59670.99,2026-05-23
TX0000046,USR00009,TX_QR,962482.64,2026-05-09
TX0000047,USR00009,TX_QR,665394.07,2026-05-05
TX0000048,USR00009,TX_QR,427559.76,2026-05-08
TX0000049,USR00009,TX_QR,1671360.84,2026-05-27
TX0000050,USR00009,TX_QR,1684264.43,2026-05-07
TX0000051,USR00009,TX_TRF,1854660.83,2026-05-29
TX0000052,USR00009,TX_TRF,1699407.03,2026-05-19
TX0000053,USR00013,TX_QR,1764312.07,2026-05-22
TX0000054,USR00013,TX_QR,1665155.12,2026-05-13
TX0000055,USR00013,TX_TRF,212017.81,2026-06-04
TX0000056,USR00013,TX_QR,976646.03,2026-05-08
TX0000057,USR00013,TX_TRF,1104223.37,2026-05-18
TX0000058,USR00013,TX_TRF,1195883.04,2026-05-28
TX0000059,USR00013,TX_QR,806630.28,2026-05-11
TX0000060,USR00013,TX_TRF,1902552.26,2026-06-21
TX0000061,USR00014,TX_QR,353626.72,2026-01-14
TX0000062,USR00014,TX_QR,405920.86,2026-01-29
TX0000063,USR00014,TX_TRF,1566522.36,2026-01-18
TX0000064,USR00014,TX_QR,191835.17,2026-01-24
TX0000065,USR00014,TX_TRF,726681.07,2026-04-09
TX0000066,USR00014,TX_TRF,990265.76,2026-04-30
TX0000067,USR00014,TX_TRF,746746.65,2026-04-07
TX0000068,USR00014,TX_TRF,1729438.35,2026-04-30
TX0000069,USR00014,TX_TRF,809986.94,2026-04-10
TX0000070,USR00014,TX_QR,1458333.09,2026-04-14
TX0000071,USR00014,TX_TRF,739320.28,2026-04-06
TX0000072,USR00014,TX_TRF,592926.58,2026-04-15
TX0000073,USR00015,TX_TRF,1818044.66,2026-02-14
TX0000074,USR00015,TX_QR,54741.19,2026-02-17
TX0000075,USR00015,TX_TRF,1400050.33,2026-02-11
TX0000076,USR00015,TX_QR,1011033.75,2026-01-23
TX0000077,USR00015,TX_TRF,644821.44,2026-01-29
TX0000078,USR00015,TX_TRF,860808.79,2026-01-25
TX0000079,USR00015,TX_QR,672170.71,2026-02-07
TX0000080,USR00016,TX_QR,1266285.55,2026-04-02
TX0000081,USR00016,TX_QR,300283.87,2026-04-13
TX0000082,USR00016,TX_TRF,350316.86,2026-04-16
TX0000083,USR00016,TX_TRF,34722.89,2026-04-05
TX0000084,USR00016,TX_QR,467303.34,2026-04-02
TX0000085,USR00016,TX_TRF,1462806.19,2026-04-01
TX0000086,USR00016,TX_QR,1980065.6,2026-04-10
TX0000087,USR00016,TX_QR,1436377.3,2026-03-29
TX0000088,USR00018,TX_SAV,23798011.17,2026-02-01
TX0000089,USR00018,TX_QR,533293.44,2026-03-08
TX0000090,USR00018,TX_QR,154674.15,2026-03-14
TX0000091,USR00018,TX_TRF,1924076.18,2026-03-03
TX0000092,USR00018,TX_TRF,447435.84,2026-02-16
TX0000093,USR00018,TX_QR,565807.48,2026-03-08
TX0000094,USR00018,TX_QR,1441052.99,2026-03-15
TX0000095,USR00018,TX_TRF,1561456.54,2026-04-24
TX0000096,USR00018,TX_TRF,1420159.98,2026-04-25
TX0000097,USR00018,TX_QR,1137712.77,2026-04-27
TX0000098,USR00018,TX_QR,1759313.16,2026-04-21
TX0000099,USR00018,TX_QR,1898878.0,2026-04-27
TX0000100,USR00018,TX_QR,328326.14,2026-04-30
TX0000101,USR00018,TX_TRF,695464.94,2026-06-13
TX0000102,USR00018,TX_TRF,688484.46,2026-06-04
TX0000103,USR00018,TX_QR,1527829.63,2026-06-02
TX0000104,USR00018,TX_TRF,599369.95,2026-05-20
TX0000105,USR00018,TX_QR,663345.85,2026-06-10
TX0000106,USR00018,TX_QR,1727667.67,2026-06-03
TX0000107,USR00018,TX_TRF,1313971.07,2026-05-28
TX0000108,USR00018,TX_TRF,799469.14,2026-06-22
TX0000109,USR00020,TX_TRF,1828756.37,2026-02-27
TX0000110,USR00020,TX_TRF,989746.91,2026-02-25
TX0000111,USR00020,TX_QR,1940848.04,2026-03-01
TX0000112,USR00020,TX_QR,750127.78,2026-02-12
TX0000113,USR00022,TX_SAV,15139605.72,2026-04-13
TX0000114,USR00022,TX_QR,922563.62,2026-05-15
TX0000115,USR00022,TX_TRF,203314.07,2026-05-19
TX0000116,USR00022,TX_TRF,1914520.15,2026-05-08
TX0000117,USR00022,TX_QR,33666.25,2026-05-17
TX0000118,USR00023,TX_SAV,33988127.92,2026-03-23
TX0000119,USR00023,TX_QR,1449572.4,2026-04-27
TX0000120,USR00023,TX_QR,358370.22,2026-05-09
TX0000121,USR00023,TX_QR,1232683.28,2026-05-07
TX0000122,USR00023,TX_TRF,1451656.25,2026-05-10
TX0000123,USR00023,TX_QR,482727.22,2026-04-25
TX0000124,USR00023,TX_QR,377329.11,2026-05-05
TX0000125,USR00023,TX_QR,617016.7,2026-05-08
TX0000126,USR00023,TX_QR,1648617.33,2026-05-06
TX0000127,USR00023,TX_QR,652998.87,2026-06-08
TX0000128,USR00023,TX_TRF,467851.23,2026-05-27
TX0000129,USR00023,TX_QR,1543475.48,2026-06-04
TX0000130,USR00023,TX_QR,351487.68,2026-05-20
TX0000131,USR00023,TX_QR,827090.19,2026-05-26
TX0000132,USR00023,TX_TRF,190987.13,2026-06-08
TX0000133,USR00023,TX_QR,711921.04,2026-05-31
TX0000134,USR00023,TX_QR,561359.59,2026-06-08
TX0000135,USR00024,TX_SAV,24355297.24,2026-04-14
TX0000136,USR00024,TX_QR,295146.13,2026-05-08
TX0000137,USR00024,TX_QR,1886057.8,2026-05-27
TX0000138,USR00024,TX_QR,1338545.21,2026-05-08
TX0000139,USR00024,TX_TRF,1592070.33,2026-06-05
TX0000140,USR00024,TX_QR,1487565.26,2026-05-28
TX0000141,USR00024,TX_QR,47412.02,2026-05-15
TX0000142,USR00024,TX_TRF,1174082.0,2026-06-26
TX0000143,USR00025,TX_TRF,684212.38,2026-01-28
TX0000144,USR00025,TX_TRF,1351398.5,2026-01-18
TX0000145,USR00025,TX_QR,919857.88,2026-02-04
TX0000146,USR00025,TX_TRF,642949.45,2026-02-10
TX0000147,USR00025,TX_QR,447278.82,2026-01-20
TX0000148,USR00025,TX_QR,1405642.35,2026-01-19
TX0000149,USR00025,TX_TRF,1950747.43,2026-01-23
TX0000150,USR00025,TX_QR,616551.49,2026-03-14
TX0000151,USR00025,TX_QR,1031735.59,2026-03-03
TX0000152,USR00025,TX_QR,331437.27,2026-02-19
TX0000153,USR00025,TX_TRF,1586621.21,2026-03-02
TX0000154,USR00025,TX_TRF,169956.54,2026-02-23
TX0000155,USR00025,TX_QR,141379.41,2026-04-01
TX0000156,USR00025,TX_QR,1428592.35,2026-04-01
TX0000157,USR00025,TX_QR,1183831.58,2026-03-28
TX0000158,USR00025,TX_QR,1774278.01,2026-03-30
TX0000159,USR00025,TX_TRF,109759.33,2026-03-25
TX0000160,USR00025,TX_TRF,24153.76,2026-05-30
TX0000161,USR00025,TX_QR,948756.57,2026-05-25
TX0000162,USR00025,TX_QR,1306283.73,2026-05-31
TX0000163,USR00025,TX_QR,234283.49,2026-05-28
TX0000164,USR00025,TX_TRF,1946827.59,2026-06-05
TX0000165,USR00025,TX_TRF,557576.41,2026-06-03
TX0000166,USR00029,TX_QR,404471.58,2026-05-04
TX0000167,USR00029,TX_TRF,1804409.26,2026-05-01
TX0000168,USR00029,TX_TRF,1019834.62,2026-04-29
TX0000169,USR00029,TX_TRF,1822030.64,2026-04-26
TX0000170,USR00029,TX_QR,1030944.36,2026-04-16
TX0000171,USR00029,TX_QR,1243690.08,2026-05-04
TX0000172,USR00029,TX_QR,1976203.17,2026-04-14
TX0000173,USR00029,TX_TRF,1921609.38,2026-04-30
TX0000174,USR00029,TX_TRF,1934675.55,2026-06-09
TX0000175,USR00029,TX_TRF,1763856.42,2026-06-10
TX0000176,USR00029,TX_QR,346265.38,2026-06-29
TX0000177,USR00031,TX_TRF,1056260.74,2026-05-30
TX0000178,USR00031,TX_QR,299206.36,2026-05-22
TX0000179,USR00031,TX_TRF,170689.78,2026-06-01
TX0000180,USR00031,TX_TRF,1708980.63,2026-05-29
TX0000181,USR00031,TX_QR,1510583.4,2026-06-17
TX0000182,USR00031,TX_TRF,857944.67,2026-06-02
TX0000183,USR00031,TX_TRF,1838769.77,2026-05-25
TX0000184,USR00032,TX_QR,1694908.4,2026-05-18
TX0000185,USR00032,TX_TRF,427117.23,2026-05-14
TX0000186,USR00032,TX_TRF,245741.13,2026-05-20
TX0000187,USR00032,TX_QR,468385.0,2026-05-16
TX0000188,USR00032,TX_QR,83553.63,2026-05-24
TX0000189,USR00032,TX_TRF,883285.6,2026-05-06
TX0000190,USR00032,TX_TRF,462387.67,2026-05-10
TX0000191,USR00032,TX_QR,197522.12,2026-05-22
TX0000192,USR00033,TX_SAV,35242882.26,2026-03-01
TX0000193,USR00033,TX_TRF,369398.45,2026-04-19
TX0000194,USR00033,TX_QR,1268528.13,2026-04-13
TX0000195,USR00033,TX_QR,20757.95,2026-04-04
TX0000196,USR00033,TX_TRF,1341972.34,2026-04-05
TX0000197,USR00033,TX_TRF,1879019.43,2026-03-31
TX0000198,USR00033,TX_TRF,1096585.7,2026-04-21
TX0000199,USR00033,TX_TRF,1395892.44,2026-05-12
TX0000200,USR00033,TX_TRF,39976.82,2026-05-12
TX0000201,USR00033,TX_QR,1692968.69,2026-04-28
TX0000202,USR00033,TX_QR,1269502.17,2026-05-10
TX0000203,USR00033,TX_TRF,714049.28,2026-04-26
TX0000204,USR00033,TX_TRF,1619281.31,2026-05-20
TX0000205,USR00033,TX_QR,767904.6,2026-05-04
TX0000206,USR00033,TX_QR,566659.55,2026-06-17
TX0000207,USR00033,TX_QR,1135762.35,2026-06-08
TX0000208,USR00033,TX_QR,733443.31,2026-06-10
TX0000209,USR00033,TX_QR,1622853.88,2026-06-17
TX0000210,USR00033,TX_QR,598317.7,2026-06-02
TX0000211,USR00034,TX_QR,1836545.19,2026-03-22
TX0000212,USR00034,TX_TRF,529746.19,2026-03-20
